Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
06:12.0,0 days 00:19:07.365000,,1.561946699,0 days 00:06:02.598000,6912,84,2,0,TRUE,8,pos,14188.93019,0.155431626,OnTrack,-1397,-204,743
06:12.1,0 days 00:19:07.370000,,1.561593314,0 days 00:06:02.603000,6687,82,2,0,TRUE,8,car,14189.04194,0.155432851,OnTrack,-1395.911948,-204.3183649,742.8792377
06:12.3,0 days 00:19:07.625000,,1.561239929,0 days 00:06:02.858000,6559,80,2,0,TRUE,8,pos,14194.58354,0.155493556,OnTrack,-1344,-228,738
06:12.3,0 days 00:19:07.650000,,1.560886544,0 days 00:06:02.883000,6432,78,2,0,TRUE,8,car,14195.10861,0.155499308,OnTrack,-1339.308029,-230.9397063,737.4627595
06:12.5,0 days 00:19:07.805000,,1.560533159,0 days 00:06:03.038000,6615,76,2,9,TRUE,8,pos,14198.2883,0.155534139,OnTrack,-1312,-251,734
06:12.7,0 days 00:19:07.970000,,1.560179774,0 days 00:06:03.203000,6799,74,2,18,FALSE,8,car,14201.68639,0.155571363,OnTrack,-1287.037173,-274.6622217,731.3205046
06:12.7,0 days 00:19:07.985000,,1.559944184,0 days 00:06:03.218000,6914,75,2,26,FALSE,8,pos,14202.00449,0.155574848,OnTrack,-1285,-277,731
06:12.8,0 days 00:19:08.105000,,1.559708594,0 days 00:06:03.338000,7029,77,2,34,FALSE,8,pos,14204.6043,0.155603327,OnTrack,-1270,-297,728
06:12.9,0 days 00:19:08.210000,,1.559473004,0 days 00:06:03.443000,7145,79,2,43,FALSE,8,car,14206.95306,0.155629057,OnTrack,-1258.167147,-316.2688206,726.4127759
06:13.0,0 days 00:19:08.365000,,1.559119619,0 days 00:06:03.598000,7501,81,2,44,FALSE,8,pos,14210.5428,0.15566838,OnTrack,-1243,-348,725
06:13.1,0 days 00:19:08.410000,,1.558766234,0 days 00:06:03.643000,7857,84,2,46,FALSE,8,car,14211.61972,0.155680177,OnTrack,-1239.202296,-358.039719,724.3705714
06:13.2,0 days 00:19:08.545000,,1.558412849,0 days 00:06:03.778000,8105,87,2,52,FALSE,8,pos,14214.95542,0.155716718,OnTrack,-1229,-390,722
06:13.3,0 days 00:19:08.609000,,1.558059464,0 days 00:06:03.842000,8354,90,2,58,FALSE,8,car,14216.59472,0.155734676,OnTrack,-1224.366005,-405.7425809,720.7639916
06:13.4,0 days 00:19:08.745000,,1.557706079,0 days 00:06:03.978000,8779,94,2,63,FALSE,8,pos,14220.21549,0.155774339,OnTrack,-1215,-440,718
06:13.5,0 days 00:19:08.809000,,1.557352694,0 days 00:06:04.042000,9204,98,2,69,FALSE,8,car,14222.03917,0.155794316,OnTrack,-1210.941072,-456.2332111,716.6823808
06:13.7,0 days 00:19:09.005000,,1.556999309,0 days 00:06:04.238000,9906,106,2,74,FALSE,8,pos,14228.19135,0.15586171,OnTrack,-1197,-513,712
06:13.7,0 days 00:19:09.049000,,1.556645923,0 days 00:06:04.282000,10608,114,2,80,FALSE,8,car,14229.63917,0.15587757,OnTrack,-1192.500302,-529.6128887,710.6005675
06:14.0,0 days 00:19:09.289000,,1.555939153,0 days 00:06:04.522000,11058,125,2,84,FALSE,8,car,14237.9725,0.155968857,OnTrack,-1163.506797,-629.1670537,702.352463
06:14.0,0 days 00:19:09.305000,,1.555703563,0 days 00:06:04.538000,11207,133,2,89,FALSE,8,pos,14238.5824,0.155975538,OnTrack,-1162,-634,702
06:14.2,0 days 00:19:09.525000,,1.555467973,0 days 00:06:04.758000,11356,141,2,94,FALSE,8,pos,14247.73796,0.156075832,OnTrack,-1144,-684,699
06:14.3,0 days 00:19:09.649000,,1.555232383,0 days 00:06:04.882000,11505,150,2,100,FALSE,8,car,14252.9725,0.156133173,OnTrack,-1124.132956,-733.3675209,695.3223632
06:14.6,0 days 00:19:09.905000,,1.554878998,0 days 00:06:05.138000,11459,145,2,50,FALSE,8,pos,14263.18085,0.156245,OnTrack,-1071,-859,685
06:14.7,0 days 00:19:10.049000,,1.554525613,0 days 00:06:05.282000,11414,141,3,0,TRUE,8,car,14268.63917,0.156304793,OnTrack,-1050.061494,-901.1935755,681.2310876
06:14.9,0 days 00:19:10.185000,,1.554172228,0 days 00:06:05.418000,10714,134,3,0,TRUE,8,pos,14273.61376,0.156359287,OnTrack,-1036,-926,679
06:14.9,0 days 00:19:10.249000,,1.553818843,0 days 00:06:05.482000,10014,128,3,0,TRUE,8,car,14275.75028,0.156382691,OnTrack,-1030.993005,-934.4690551,678.334967
06:15.1,0 days 00:19:10.405000,,1.553465458,0 days 00:06:05.638000,9899,112,3,0,TRUE,8,pos,14280.17709,0.156431184,OnTrack,-1018,-955,677
