Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
07:04.9,0 days 00:20:00.170000,3,174.1969444,0 days 00:05:10.949000,5537,53,1,0,FALSE,8,car,11070.92917,0.309845226,OnTrack,-752,-1113,656
07:05.1,0 days 00:20:00.385000,3,177.6969444,0 days 00:05:11.164000,5245,50,1,0,FALSE,8,pos,11073.7923,0.309925358,OnTrack,-737,-1088,656
07:05.3,0 days 00:20:00.570000,3,181.1969444,0 days 00:05:11.349000,4953,47,1,0,FALSE,8,car,11076.15139,0.309991382,OnTrack,-731,-1053,653
07:05.3,0 days 00:20:00.585000,3,183.1136111,0 days 00:05:11.364000,4906,46,1,0,FALSE,8,pos,11076.34336,0.309996755,OnTrack,-731,-1051,653
07:05.5,0 days 00:20:00.770000,3,185.0302778,0 days 00:05:11.549000,4859,46,1,0,FALSE,8,car,11078.70694,0.310062905,OnTrack,-733,-1022,649
07:05.6,0 days 00:20:00.885000,3,186.8302778,0 days 00:05:11.664000,4890,45,1,1,FALSE,8,pos,11080.14706,0.31010321,OnTrack,-737,-1006,648
07:05.6,0 days 00:20:00.930000,3,188.6302778,0 days 00:05:11.709000,4922,45,1,2,FALSE,8,car,11080.70694,0.31011888,OnTrack,-738,-999,647
07:05.8,0 days 00:20:01.090000,3,192.7191667,0 days 00:05:11.869000,5640,45,1,7,FALSE,8,car,11082.70694,0.310174854,OnTrack,-745,-977,645
07:06.1,0 days 00:20:01.370000,3,200.9636111,0 days 00:05:12.149000,5959,48,1,14,FALSE,8,car,11086.44028,0.31027934,OnTrack,-756,-946,643
07:06.1,0 days 00:20:01.385000,3,203.3858333,0 days 00:05:12.164000,6084,49,1,14,FALSE,8,pos,11086.64586,0.310285094,OnTrack,-757,-945,643
07:06.2,0 days 00:20:01.530000,3,205.8080556,0 days 00:05:12.309000,6209,50,1,15,FALSE,8,car,11088.6625,0.310341534,OnTrack,-761,-935,641
